N Empleado;GRUPO;MOMENTO;16;17;18;19;20;21;22
1;G1;PRE;6;6;6;5;5;4;6
2;G1;PRE;1;2;3;1;2;1;5
3;G2;PRE;2;5;6;5;2;2;6
4;G1;PRE;3;4;5;1;3;2;4
5;G1;PRE;4;6;6;3;3;2;5
6;G2;PRE;3;3;4;3;4;3;4
7;G1;PRE;5;3;5;2;4;4;5
8;G2;PRE;4;5;5;5;5;3;4
9;G2;PRE;5;6;6;4;5;3;5
10;G1;PRE;4;6;6;4;2;5;6
11;G1;PRE;4;3;5;2;3;3;5
12;G2;PRE;3;1;1;2;3;2;3
13;G2;PRE;6;3;2;3;2;2;2
14;G1;PRE;5;2;3;3;3;4;5
15;G1;PRE;4;3;4;2;4;3;4
16;G1;PRE;3;6;6;2;6;3;5
17;G1;PRE;5;3;3;2;1;2;4
18;G2;PRE;6;1;6;6;5;6;2
19;G2;PRE;1;3;2;3;2;2;2
20;G2;PRE;6;4;4;5;3;3;5
21;G1;PRE;4;2;4;3;4;2;5
22;G2;PRE;6;6;6;6;4;5;6
23;G1;PRE;4;5;5;3;4;2;3
24;G2;PRE;6;2;5;5;4;6;5
25;G2;PRE;5;1;4;4;4;3;4
26;G2;PRE;1;5;4;3;3;2;4
27;G2;PRE;5;6;6;6;4;3;6
28;G2;PRE;4;2;4;2;2;2;2
29;G1;PRE;4;2;1;1;3;2;3
30;G2;PRE;3;3;4;4;1;1;3
31;G1;PRE;3;1;1;2;1;2;3
32;G1;PRE;1;3;4;1;3;3;3
33;G2;PRE;2;4;4;3;5;3;5
34;G2;PRE;4;3;4;4;4;3;5
35;G1;PRE;4;1;3;2;2;3;5
36;G1;PRE;6;5;6;2;4;6;6
37;G2;PRE;6;4;6;6;6;6;6
38;G1;PRE;4;3;4;4;3;3;5
39;G1;PRE;1;2;4;1;1;1;1
40;G1;PRE;4;6;5;3;2;3;3
41;G2;PRE;;;;;;;
42;G1;PRE;4;4;5;4;4;3;3
43;G2;PRE;3;1;3;1;2;4;3
44;G1;PRE;6;6;6;1;1;1;5
45;G2;PRE;4;5;5;2;3;3;4
46;G1;PRE;5;5;5;3;2;2;1
47;G2;PRE;6;2;2;3;4;4;4
48;G2;PRE;4;4;5;3;3;4;4
49;G2;PRE;3;4;5;3;4;5;5
50;G2;PRE;4;4;3;2;4;3;4
51;G2;PRE;;;;;;;
1;G1;POST;;;;;;;
2;G1;POST;5;2;4;1;4;2;4
3;G2;POST;3;5;6;5;4;2;6
4;G1;POST;5;6;6;2;3;2;5
5;G1;POST;4;4;6;6;3;3;4
6;G2;POST;;;;;;;
7;G1;POST;6;5;6;5;6;5;6
8;G2;POST;4;4;4;4;5;4;5
9;G2;POST;4;5;5;4;5;4;5
10;G1;POST;;;;;;;
11;G1;POST;5;6;6;1;3;2;4
12;G2;POST;3;1;1;3;3;3;4
13;G2;POST;;;;;;;
14;G1;POST;5;2;3;5;3;4;4
15;G1;POST;6;1;6;3;3;3;3
16;G1;POST;4;5;4;5;5;3;5
17;G1;POST;5;4;3;2;2;4;5
18;G2;POST;6;1;5;6;2;6;3
19;G2;POST;1;2;3;2;2;2;2
20;G2;POST;;;;;;;
21;G1;POST;4;1;3;3;4;4;4
22;G2;POST;6;6;6;5;4;4;6
23;G1;POST;4;5;5;2;3;4;4
24;G2;POST;5;1;2;3;4;2;4
25;G2;POST;5;3;4;3;3;2;4
26;G2;POST;2;5;5;5;4;3;3
27;G2;POST;6;6;6;6;5;3;5
28;G2;POST;4;3;5;3;3;2;3
29;G1;POST;5;4;4;4;4;3;4
30;G2;POST;3;2;3;3;3;3;4
31;G1;POST;;;;;;;
32;G1;POST;2;4;5;3;4;3;4
33;G2;POST;;;;;;;
34;G2;POST;4;4;4;3;4;4;4
35;G1;POST;3;3;3;2;2;3;4
36;G1;POST;6;4;6;1;5;6;6
37;G2;POST;6;3;6;6;6;6;6
38;G1;POST;4;3;5;4;3;3;4
39;G1;POST;2;2;4;5;3;4;4
40;G1;POST;;;;;;;
41;G2;POST;;;;;;;
42;G1;POST;3;4;3;3;4;4;4
43;G2;POST;2;1;2;2;3;2;4
44;G1;POST;;;;;;;
45;G2;POST;;;;;;;
46;G1;POST;4;5;5;4;3;3;3
47;G2;POST;4;3;4;4;4;4;4
48;G2;POST;4;5;5;4;3;4;4
49;G2;POST;;;;;;;
50;G2;POST;4;5;4;3;4;3;4
51;G2;POST;;;;;;;
