N Empleado;Grupo;A;B;C;D;E;F;G;H;I;J;K
1;G1;;;;;;;;;;;
2;G1;;;;;;;;;;;
3;G2;;;;;;;;;;;
4;G1;5;5;3;4;5;5;5;4;3;3;4
5;G1;5;5;3;4;5;5;5;3;3;4;3
6;G2;;;;;;;;;;;
7;G1;5;5;1;5;5;5;4;3;1;3;1
8;G2;4;3;3;4;4;3;4;4;3;3;3
9;G2;;;;;;;;;;;
10;G1;;;;;;;;;;;
11;G1;4;5;3;3;4;3;3;3;3;1;3
12;G2;;;;;;;;;;;
13;G2;;;;;;;;;;;
14;G1;5;4;2;4;4;5;5;4;4;4;4
15;G1;5;4;1;2;5;5;5;4;3;5;4
16;G1;;;;;;;;;;;
17;G1;4;4;4;4;5;4;4;4;4;5;4
18;G2;;;;;;;;;;;
19;G2;4;4;4;5;4;5;5;4;5;3;4
20;G2;5;4;4;4;3;3;4;4;4;3;3
21;G1;3;4;2;3;2;4;3;3;2;2;3
22;G2;;;;;;;;;;;
23;G1;;;;;;;;;;;
24;G2;5;4;3;3;4;5;4;3;3;4;4
25;G2;4;5;2;3;4;4;4;3;3;3;2
26;G2;4;5;3;4;4;5;4;5;4;3;4
27;G2;4;5;1;3;5;3;3;4;3;3;3
28;G2;4;4;3;3;4;5;4;4;3;3;3
29;G1;5;4;4;4;4;5;5;3;4;4;3
30;G2;;;;;;;;;;;
31;G1;;;;;;;;;;;
32;G1;;;;;;;;;;;
33;G2;;;;;;;;;;;
34;G2;;;;;;;;;;;
35;G1;;;;;;;;;;;
36;G1;5;5;5;3;5;5;5;2;4;3;2
37;G2;4;5;1;3;4;4;4;4;3;3;4
38;G1;3;4;3;2;2;2;2;2;2;2;2
39;G1;5;4;5;3;3;4;3;3;4;3;3
40;G1;;;;;;;;;;;
41;G2;;;;;;;;;;;
42;G1;4;4;2;4;3;4;4;4;3;3;3
43;G2;;;;;;;;;;;
44;G1;;;;;;;;;;;
45;G2;;;;;;;;;;;
46;G1;5;4;5;3;4;5;5;2;3;2;3
47;G2;5;4;2;3;4;3;3;4;3;3;2
48;G2;3;4;3;4;4;4;4;4;4;4;4
49;G2;;;;;;;;;;;
50;G2;;;;;;;;;;;
51;G2;;;;;;;;;;;
A;G1;5;5;3;4;5;5;5;4;4;3;3
B;G1;4;5;3;4;5;5;5;3;3;3;4
C;G1;5;4;3;3;5;5;5;4;4;4;4
D;G2;5;5;4;5;5;5;5;4;4;3;4
