,ID,GROUP,TechnoStressPRE,TechnoStressPOST,role,Dept,DeptAsNumeric
0,2,EXP,27.0,20.0,director,Support,1
1,4,EXP,20.0,13.0,development,Support,1
2,5,EXP,13.0,12.0,development/support,Development,0
3,7,EXP,14.0,3.0,support,Support,1
4,8,CTRL,11.0,12.0,development,Development,0
5,11,EXP,17.0,15.0,development/support,Support,1
6,14,EXP,17.0,16.0,development,Development,0
7,15,EXP,18.0,17.0,development,Development,0
8,16,EXP,11.0,11.0,development,Development,0
9,17,EXP,22.0,17.0,development,Development,0
10,18,CTRL,10.0,13.0,support,Support,1
11,19,CTRL,27.0,28.0,systems,Support,1
12,21,EXP,18.0,19.0,support,Support,1
13,22,CTRL,3.0,5.0,systems,Support,1
14,23,EXP,16.0,15.0,development,Development,0
15,24,CTRL,9.0,21.0,development,Development,0
16,25,CTRL,17.0,18.0,development,Development,0
17,26,CTRL,20.0,15.0,development,Development,0
18,27,CTRL,6.0,5.0,development,Development,0
19,28,CTRL,24.0,19.0,development,Development,0
20,29,EXP,26.0,14.0,support,Support,1
21,32,EXP,24.0,17.0,development,Development,0
22,36,EXP,7.0,8.0,support,Support,1
23,37,CTRL,2.0,3.0,support,Support,1
24,38,EXP,16.0,16.0,development,Development,0
25,39,EXP,31.0,18.0,development,Development,0
26,42,EXP,15.0,17.0,management,Support,1
27,46,EXP,19.0,15.0,development,Development,0
28,47,CTRL,17.0,15.0,development,Development,0
29,48,CTRL,15.0,13.0,development,Development,0
